==3710704== NVPROF is profiling process 3710704, command: ./mfps-8 ../models/bunny.stl
==3710704== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710704== Profiling application: ./mfps-8 ../models/bunny.stl
==3710704== Profiling result:
==3710704== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions     1252235     1252235     1252235
          1                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          1                              inst_control                                             Control-Flow Instructions      295272      295272      295272
          1                        inst_compute_ld_st                                               Load/Store Instructions       63217       63217       63217
          1                                 inst_misc                                                     Misc Instructions      551198      551198      551198
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots     3291130     3291130     3291130
          1                                 cf_issued                                      Issued Control-Flow Instructions     1454665     1454665     1454665
          1                               cf_executed                                    Executed Control-Flow Instructions     1454665     1454665     1454665
          1                               ldst_issued                                        Issued Load/Store Instructions      375904      375904      375904
          1                             ldst_executed                                      Executed Load/Store Instructions      258963      258963      258963
          1                       atomic_transactions                                                   Atomic Transactions      149917      149917      149917
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    4.289471    4.289471    4.289471
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  4.3051GB/s  4.3051GB/s  4.3051GB/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)      296350      296350      296350
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      157489      157489      157489
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.15%       0.15%       0.15%
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      146645      146645      146645
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          1               pcie_total_data_transmitted                                           PCIe Total Data Transmitted         512         512         512
          1                  pcie_total_data_received                                              PCIe Total Data Received           0           0           0
          1                inst_executed_global_loads                              Warp level instructions for global loads       15719       15719       15719
          1                 inst_executed_local_loads                               Warp level instructions for local loads       38800       38800       38800
          1                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores        2697        2697        2697
          1                inst_executed_local_stores                              Warp level instructions for local stores       66614       66614       66614
          1               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       32487       32487       32487
          1           inst_executed_global_reductions                         Warp level instructions for global reductions        2463        2463        2463
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads     3274304     3274304     3274304
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads     1728992     1728992     1728992
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.     4494624     4494624     4494624
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions       78560       78560       78560
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics     4632192     4632192     4632192
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor       89140       89140       89140
          1                       local_load_requests               Total number of local load requests from Multiprocessor       71800       71800       71800
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor       39243       39243       39243
          1                      local_store_requests              Total number of local store requests from Multiprocessor      100047      100047      100047
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor       62720       62720       62720
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor        2463        2463        2463
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      83.09%      83.09%      83.09%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                     unique_warps_launched                                              Number of warps launched        1024        1024        1024
          1                             sm_efficiency                                               Multiprocessor Activity      25.43%      25.43%      25.43%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.065817    0.065817    0.065817
          1                                       ipc                                                          Executed IPC    0.236919    0.236919    0.236919
