==2933676== NVPROF is profiling process 2933676, command: ./fps ../models/bunny.stl
==2933676== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2933676== Profiling application: ./fps ../models/bunny.stl
==2933676== Profiling result:
==2933676== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_read_tex_sector_queries",701631,701631,701631,701631
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_write_tex_sector_queries",51200,51200,51200,51200
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_write_tex_sector_queries",51200,51200,51200,51200
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_read_tex_hit_sectors",696975,696975,696975,696975
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_read_tex_hit_sectors",695765,695765,695765,695765
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_write_tex_hit_sectors",38434,38434,38434,38434
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_write_tex_hit_sectors",38434,38434,38434,38434
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_total_read_sector_queries",702895,702895,702895,702895
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_total_read_sector_queries",701679,701679,701679,701679
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_total_write_sector_queries",51201,51201,51201,51201
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_total_write_sector_queries",51212,51212,51212,51212
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_write_sysmem_sector_queries",1,1,1,1
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_write_sysmem_sector_queries",4,4,4,4
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"elapsed_cycles_sm",2486060,2486060,2486060,2486060
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gld_inst_8bit",585278,585278,585278,585278
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gld_inst_16bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gld_inst_32bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gld_inst_64bit",3276800,3276800,3276800,3276800
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gld_inst_128bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gst_inst_8bit",3276800,3276800,3276800,3276800
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gst_inst_16bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gst_inst_32bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gst_inst_64bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"gst_inst_128bit",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_00",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_01",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_02",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_03",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_04",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_05",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_06",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"prof_trigger_07",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"warps_launched",102400,102400,102400,102400
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"inst_issued0",3395255,3395255,3395255,3395255
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"inst_issued1",5801488,5801488,5801488,5801488
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"inst_issued2",280047,280047,280047,280047
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"inst_executed",6358185,6358185,6358185,6358185
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"thread_inst_executed",183048452,183048452,183048452,183048452
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"not_predicated_off_thread_inst_executed",171945938,171945938,171945938,171945938
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"active_cycles",2326372,2326372,2326372,2326372
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"active_warps",104819936,104819936,104819936,104819936
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"global_load",144612,144612,144612,144612
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"global_store",102400,102400,102400,102400
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"generic_load",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"generic_store",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"inst_executed_in_trap",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"active_cycles_in_trap",0,0,0,0
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"local_store",0,0,0,0
